Entry	STRING_ID
Q9D7D7	10090.ENSMUSP00000049725
Q925N4	10090.ENSMUSP00000124528
Q80WG5	10090.ENSMUSP00000092690
P52189	10090.ENSMUSP00000094075
P06795	10090.ENSMUSP00000009058
O88551	10090.ENSMUSP00000023154
P55292	10090.ENSMUSP00000042905
Q60603	10090.ENSMUSP00000077563
A6PWV3	10090.ENSMUSP00000102725
O35453	10090.ENSMUSP00000103737
O35174	10090.ENSMUSP00000072645
G3XA59	10090.ENSMUSP00000133205
Q80W68	10090.ENSMUSP00000103243
Q4KL25	10090.ENSMUSP00000079598
Q99J93	10090.ENSMUSP00000071470
Q61093	10090.ENSMUSP00000015484
Q7TNJ0	10090.ENSMUSP00000022913
P09470	10090.ENSMUSP00000001963
Q01965	10090.ENSMUSP00000069319
Q5DU41	10090.ENSMUSP00000108327
Q8R502	10090.ENSMUSP00000066015
Q8CBC4	10090.ENSMUSP00000048205
Q7TSF1	10090.ENSMUSP00000076026
Q60928	10090.ENSMUSP00000006508
P56476	10090.ENSMUSP00000024035
Q80W99	10090.ENSMUSP00000021961
P17809	10090.ENSMUSP00000030398
Q3TWN3	10090.ENSMUSP00000096972
Q99N28	10090.ENSMUSP00000106851
P51830	10090.ENSMUSP00000113498
Q9Z0M3	10090.ENSMUSP00000052078
Q99PF4	10090.ENSMUSP00000101101
Q8BZN2	10090.ENSMUSP00000022967
O88587	10090.ENSMUSP00000111272
P01731	10090.ENSMUSP00000068123
P97414	10090.ENSMUSP00000009689
O35054	10090.ENSMUSP00000053420
Q8BFW9	10090.ENSMUSP00000043962
Q9Z351	10090.ENSMUSP00000122915
Q3U2S8	10090.ENSMUSP00000072401
A2ALI5	10090.ENSMUSP00000101271
P58659	NO_STRING_ID
Q99JW5	10090.ENSMUSP00000061935
Q5M8M9	10090.ENSMUSP00000047213
Q059Y8	10090.ENSMUSP00000065502
P14142	10090.ENSMUSP00000018710
Q8BIZ0	10090.ENSMUSP00000054774
Q6IMP4	10090.ENSMUSP00000124354
E9PUL5	10090.ENSMUSP00000124520
P70414	10090.ENSMUSP00000083725
Q91Y20	NO_STRING_ID
Q91VC4	10090.ENSMUSP00000035404
Q9JJC8	10090.ENSMUSP00000114020
Q9D1N4	10090.ENSMUSP00000009358
P56974	10090.ENSMUSP00000111378
Q69ZK9	10090.ENSMUSP00000053097
O54990	10090.ENSMUSP00000073751
Q9R1S7	10090.ENSMUSP00000002850
P53986	10090.ENSMUSP00000045216
Q06186	10090.ENSMUSP00000025363
Q3T9X0	10090.ENSMUSP00000063352
Q80T91	NO_STRING_ID
Q9JI59	10090.ENSMUSP00000109833
Q02496	10090.ENSMUSP00000041963
P28230	10090.ENSMUSP00000062723
P52800	10090.ENSMUSP00000001319
Q9Z218	10090.ENSMUSP00000113441
Q61543	10090.ENSMUSP00000131355
P59053	10090.ENSMUSP00000054910
Q7TMD7	10090.ENSMUSP00000019426
Q80TG9	10090.ENSMUSP00000047573
Q8BLY3	10090.ENSMUSP00000037616
Q9CQY5	10090.ENSMUSP00000120994
Q3UEZ8	10090.ENSMUSP00000031127
Q810U4	10090.ENSMUSP00000020939
Q61391	10090.ENSMUSP00000029400
P97484	10090.ENSMUSP00000077546
Q02242	10090.ENSMUSP00000027507
P97300	10090.ENSMUSP00000082793
Q8K135	10090.ENSMUSP00000099667
Q8BGA3	10090.ENSMUSP00000089225
P26361	10090.ENSMUSP00000049228
P18581	10090.ENSMUSP00000096414
Q99J21	10090.ENSMUSP00000004683
P70206	10090.ENSMUSP00000131840
Q5F267	10090.ENSMUSP00000057592
Q3U1F9	10090.ENSMUSP00000124529
Q3TTY0	10090.ENSMUSP00000098928
Q8C561	10090.ENSMUSP00000087858
B1B212	10090.ENSMUSP00000117032
P52187	10090.ENSMUSP00000086588
Q99P91	10090.ENSMUSP00000031840
B2KG20	10090.ENSMUSP00000085362
Q9CQW9	10090.ENSMUSP00000026565
Q80UL9	10090.ENSMUSP00000052033
Q9D1T0	10090.ENSMUSP00000059050
Q7TQJ1	10090.ENSMUSP00000053733
Q8K211	10090.ENSMUSP00000081574
P07141	10090.ENSMUSP00000014743
Q61762	10090.ENSMUSP00000055673
O70507	10090.ENSMUSP00000034889
Q99PH1	10090.ENSMUSP00000062158
Q61923	10090.ENSMUSP00000107861
Q9QZ15	10090.ENSMUSP00000032248
Q8VHY0	10090.ENSMUSP00000038909
Q9Z0S5	10090.ENSMUSP00000106722
Q5F226	10090.ENSMUSP00000067556
Q8BUV8	10090.ENSMUSP00000056739
